車,수레,차*/ 거*
高,높을,고
工,장인,공
果,열매,과
交,사귈,교
口,입,구
家,집,가
角,뿔,각
建,세울,건
見,볼,견
季,계절,계
古,옛,고
故,옛/ 연고,고
曲,굽을,곡
科,과목,과
光,빛,광
九,아홉,구
軍,군사,군
今,이제,금
金,쇠/ 성(姓),금
己,몸,기
加,더할,가
間,사이,간
江,강,강
去,갈,거
決,결단할,결
京,서울,경
慶,경사,경
競,다툴,경
經,지날/ 글,경
界,지경,계
計,셈할,계
告,알릴,고
考,생각할,고
公,공평할,공
共,함께,공
過,지날,과
校,학교,교
求,구할,구
究,연구할,구
國,나라,국
君,임금,군
基,터,기
技,재주,기
氣,기운,기
記,기록할,기
價,값,가
可,옳을,가
感,느낄,감
開,열,개
客,손,객
結,맺을,결
敬,공경할,경
固,굳을,고
功,공,공
空,빌/ 하늘,공
課,부과할,과
官,벼슬,관
觀,볼,관
廣,넓을,광
敎,가르칠,교
郡,고을,군
近,가까울,근
期,기약할,기
吉,길할,길
歌,노래,가
街,거리,가
各,각각,각
干,방패*/ 마를*,간
强,강할*/ 굳셀*,강/ 항
個,낱,개
改,고칠,개
擧,들,거
犬,개,견
谷,골짜기,곡
骨,뼈,골
久,오래,구
句,글귀,구
救,구할,구
弓,활,궁
權,권리,권
貴,귀할,귀
勤,부지런할,근
禁,금할,금
其,그,기
起,일어날,기
佳,아름다울,가
假,거짓/ 빌릴,가
脚,다리,각
看,볼,간
渴,목마를,갈
敢,감히,감
減,덜,감
甘,달,감
講,강론할,강
降,내릴*/ 항복할*,강/ 항
皆,다,개
更,다시*/ 고칠*,경/ 갱
居,살,거
巨,클,거
乾,마를*/ 하늘*,건/ 간
堅,굳을,견
潔,깨끗할,결
庚,일곱째 천간,경
耕,밭 갈,경
輕,가벼울,경
驚,놀랄,경
溪,시내,계
癸,열째 천간,계
鷄,닭,계
苦,쓸,고
穀,곡식,곡
困,곤할,곤
坤,땅,곤
關,관계할*/ 빗장*,관/ 관
橋,다리,교
舊,옛,구
勸,권할,권
卷,책,권
歸,돌아갈,귀
均,고를,균
極,다할*/ 지극할*,극/ 극
及,미칠,급
急,급할,급
給,줄,급
幾,몇,기
旣,이미,기
架,시렁,가
暇,틈,가
却,물러날,각
閣,문설주,각
覺,깨달을,각
刻,새길,각
刊,새길,간
肝,간,간
幹,줄기,간
簡,간단할,간
姦,간사할,간
懇,간절할,간
監,살필,감
鑑,거울,감
康,편안할,강
剛,굳셀,강
鋼,쇠,강
各,각각,각
干,방패/ 마를,간
强,강할,강
伽,절,가
歌,노래,가
嘉,아름다울,가
嫁,시집갈,가
柯,가지,가
稼,심을,가
苛,꾸짖을,가
袈,가사,가
訶,꾸짖을,가
賈,값,가
跏,앉을,가
迦,갈,가
駕,수레,가
恪,삼갈,각
殼,껍데기,각
格,격식,격
隔,뗄,격
擊,칠,격
激,격렬할,격
肩,어깨,견
遣,보낼,견
牽,끌,견
絹,비단,견
劍,칼,검
檢,검사할,검
兼,겸할,겸
謙,겸손할,겸
缺,빠질,결
乞,빌,걸
傑,뛰어날,걸
健,굳셀,건
件,낱,건
綱,벼리,강
剛,굳셀,강
