娘,아가씨,낭*/ 냥*
諾,승낙할,낙
絡,얽힐,락
洛,강 이름,락
珞,목걸이,락
酪,술,락
烙,지질,락
駱,낙타,락
爛,문드러질,란
瀾,물결,란
亂,어지러울,란
欄,난간,란
蘭,난초,란
卵,알,란
濫,넘칠,람
覽,볼,람
鸞,난새,란
藍,쪽,람
拉,당길,라
蠟,찹쌀,랍
臘,섣달,랍
朗,밝을,랑
浪,물결,랑
狼,이리,랑
郞,사내,랑
萊,명아주,래
來,올,래
良,좋을,량
糧,양식,량
亮,밝을,량
諒,헤아릴,량
凉,서늘할,량
梁,들보,량
量,헤아릴,량
侶,짝,려
儷,짝,려
藜,명아주,려
驢,당나귀,려
呂,척추뼈,려
閭,마을,려
驪,검은 말,려
黎,검을,려
廬,오두막,려
礪,거칠,려
濾,거를,려
瀝,물방울,력
礫,자갈,력
鍊,단련할,련
憐,불쌍히 여길,련
聯,잇닿을,련
戀,사모할,련
蓮,연꽃,련
漣,물결,련
輦,수레,련
攣,굽을,련
斂,거둘,렴
濂,물 맑을,렴
簾,발,렴
殮,염할,렴
翎,깃,령
齡,나이,령
玲,옥 소리,령
鈴,방울,령
醴,단술,례
零,떨어질,령
靈,신령,령
嶺,재,령
隷,종,례
魯,노나라,로
盧,밥그릇,로
鷺,해오라비,로
櫓,노,로
虜,사로잡을,로
撈,건질,로
鹵,짜다,로
麓,산기슭,록
籠,대바구니,롱
聾,귀머거리,롱
儡,허수아비,뢰
瀨,여울,뢰
牢,우리,뢰
療,나을,료
遼,멀,료
寮,동료,료
陋,좁을,루
壘,보루,루
婁,별 이름,루
琉,유리,류
劉,류씨,류
硫,유황,류
溜,흐를,류
榴,석류,류
瘤,혹,류
謬,그르칠,류
戮,죽일,륙
輪,바퀴,륜
綸,낚싯줄,륜
崙,곤륜산,륜
慄,떨,률
律,법,률
栗,밤,률
率,거느릴,률
隆,높을,륭
陵,언덕,릉
凌,업신여길,릉
綾,비단,릉
菱,마름,릉
稜,모,릉
楞,나무,릉
吏,벼슬아치,리
離,떠날,리
裏,속,리
履,신,리
梨,배,리
隣,이웃,린
臨,임할,림
螺,소라,라
裸,벌거벗을,라
蘿,무,라
懶,게으를,란
癩,나병,라
力,힘,력
老,늙을,로
立,설,립
樂,즐거울,락*/ 악*/ 요*
來,올,래
令,하여금,령
利,이로울,리
例,법식,례
料,헤아릴,료
里,마을,리
林,수풀,림
落,떨어질,락
旅,나그네,려
禮,예도,례
路,길,로
論,논할,론
流,흐를,류
律,법,률
理,다스릴,리
卵,알,란
冷,찰,랭
良,좋을,량
量,헤아릴,량
歷,지낼,력
連,이을,련
列,벌일,렬
留,머무를,류
陸,뭍,륙
浪,물결,랑
郞,사내,랑
凉,서늘할,량
練,익힐,련
烈,맹렬할,렬
領,거느릴,령
露,이슬,로
綠,푸를,록
柳,버들,류
倫,인륜,륜
李,오얏,리
羅,비단 나,라
諾,승낙할,낙
絡,얽힐,락
